chromosome,dense_snps,pruned_snps,removed_snps,dense_abs_delta,pruned_abs_delta,fraction_signal_retained
1,45,45,0,0.1815176661056132,0.1815176661056132,1.0
2,41,40,1,0.26635977556338675,0.2615608851756518,0.9819834268234209
3,44,43,1,0.26312076959917147,0.26095566119032,0.9917714271961513
4,45,45,0,0.18159227884228155,0.18159227884228155,1.0
5,42,42,0,0.17455902783706562,0.17455902783706562,1.0
6,42,42,0,0.1568813004305433,0.1568813004305433,1.0
7,38,38,0,0.0818068879199223,0.0818068879199223,1.0
8,46,45,1,0.1513831707871358,0.14496961121207094,0.9576336025879445
9,44,43,1,0.15962938638516289,0.15604145919980877,0.9775233917350471
10,46,46,0,0.2337274512190633,0.2337274512190633,1.0
11,42,42,0,0.2124500564831848,0.2124500564831848,1.0
12,45,45,0,0.20961041443770698,0.20961041443770698,1.0
13,45,45,0,0.1270210184699551,0.1270210184699551,1.0
14,42,40,2,0.09358623220187869,0.0889750736968761,0.950728238582619
15,45,45,0,0.1750726281493024,0.1750726281493024,1.0
16,46,46,0,0.1905030302438917,0.1905030302438917,1.0
17,46,46,0,0.11427201811624951,0.11427201811624951,1.0
18,41,41,0,0.0871573037765207,0.0871573037765207,1.0
19,44,44,0,0.0897962423414501,0.0897962423414501,1.0
20,40,39,1,0.14477810014351322,0.14383681289766317,0.9934984141598973
21,43,43,0,0.0564148971284744,0.0564148971284744,1.0
22,43,43,0,0.0715235999585289,0.0715235999585289,1.0
