gene,total_abs_delta,cum_abs_delta,cum_frac
ADAMTS9,0.0610643554785804,0.0610643554785804,0.02748017103229197
TBC1D12,0.0493584424495968,0.11042279792817719,0.049692449042468265
KCNQ1,0.0470097678794309,0.1574325658076081,0.07084777691566993
ST6GAL1,0.0388765853590115,0.1963091511666196,0.08834301135226158
ASIC2,0.0360604223493395,0.2323695735159591,0.10457091658257436
KCNQ1OT1,0.0358275523789776,0.2681971258949367,0.1206940257077997
SCN2A,0.0330605149715205,0.30125764086645723,0.1355719131220329
IQGAP2,0.0312105791264681,0.3324682199929253,0.14961729271689442
SNUPN,0.0301642088694824,0.3626324288624077,0.1631917849438355
RAD51AP1,0.0246153588896071,0.3872477877520148,0.1742691846315293
CDKN2B-AS1,0.0221772246520874,0.4094250124041022,0.18424937555771856
ABLIM1,0.0216372121788695,0.43106222458297166,0.19398655016109073
PPARG,0.0208920729610069,0.4519542975439786,0.2033883973383524
ZNF512,0.0202714109006492,0.4722257084446278,0.2125109342790904
JAZF1,0.0196496849089511,0.4918753933535789,0.22135368219310106
LINC02608,0.0181711868665308,0.5100465802201097,0.22953107666551406
PCAT1,0.0179941211625949,0.5280407013827046,0.23762878805947682
TPRG1,0.0167534981521911,0.5447941995348957,0.24516819449393742
ANAPC1,0.0159770037444047,0.5607712032793004,0.2523581630449658
PPP2R2C,0.0155265974703923,0.5762978007496927,0.2593454398399464
ADAMTS9-AS1,0.0151616498473372,0.5914594505970299,0.26616848296668005
LSAMP,0.0150883816690855,0.6065478322661154,0.2729585539600996
RNF175,0.0146611801339203,0.6212090124000357,0.2795563757901637
ZNF805,0.0146074763687811,0.6358164887688168,0.2861300298608281
THADA,0.0140625481954896,0.6498790369643064,0.292458455446151
PTPRJ,0.0130696377969402,0.6629486747612465,0.2983400516600995
SLC35G1,0.0130427057288172,0.6759913804900637,0.3042095279092588
MTUS1,0.0129134094573662,0.6889047899474299,0.31002081827197975
RASSF3,0.0127566632068528,0.7016614531542826,0.31576156971327884
PYGO1,0.0126956355486711,0.7143570887029538,0.3214748574980571
